state_clean,demo_age_5_17,demo_age_17_,child_population,adult_population,total_population,child_ratio_%,adult_ratio_%,Child_Rank
ladakh,1375,4360,1375,4360,5735,23.975588491717524,76.02441150828247,1
arunachal pradesh,5783,30660,5783,30660,36443,15.868616743956315,84.13138325604368,2
dadra and nagar haveli and daman and diu,1923,10281,1923,10281,12204,15.757128810226156,84.24287118977385,3
chandigarh,13133,70228,13133,70228,83361,15.75436954930963,84.24563045069037,4
karnataka,264981,1430304,264981,1430304,1695285,15.630469213141154,84.36953078685885,5
telangana,242259,1387649,242259,1387649,1629908,14.863354250669364,85.13664574933064,6
lakshadweep,170,1006,170,1006,1176,14.45578231292517,85.54421768707483,7
puducherry,4696,28067,4696,28067,32763,14.333241766626989,85.666758233373,8
tamil nadu,315638,1896590,315638,1896590,2212228,14.26787835611881,85.73212164388119,9
jammu and kashmir,57873,349329,57873,349329,407202,14.212356520842235,85.78764347915777,10
andhra pradesh,321148,1974434,321148,1974434,2295582,13.989829158792846,86.01017084120716,11
madhya pradesh,407098,2505840,407098,2505840,2912938,13.975512008837812,86.02448799116219,12
manipur,41464,260085,41464,260085,301549,13.750335766326534,86.24966423367346,13
odisha,147499,964566,147499,964566,1112065,13.263523265276762,86.73647673472324,14
himachal pradesh,19424,129790,19424,129790,149214,13.01754527055102,86.98245472944897,15
mizoram,5302,36604,5302,36604,41906,12.652126187180833,87.34787381281916,16
delhi,175535,1263399,175535,1263399,1438934,12.198961175425698,87.8010388245743,17
haryana,139314,1026826,139314,1026826,1166140,11.946593033426518,88.05340696657348,18
nagaland,4314,32477,4314,32477,36791,11.725693783805822,88.27430621619418,19
gujarat,208474,1615853,208474,1615853,1824327,11.427446943448187,88.57255305655181,20
uttarakhand,49926,413711,49926,413711,463637,10.768338161104484,89.23166183889552,21
meghalaya,8426,78952,8426,78952,87378,9.643159605392663,90.35684039460735,22
goa,3275,31845,3275,31845,35120,9.325170842824601,90.6748291571754,23
uttar pradesh,790308,7752020,790308,7752020,8542328,9.251670036552097,90.7483299634479,24
rajasthan,257224,2560391,257224,2560391,2817615,9.129139360771433,90.87086063922857,25
tripura,11791,126222,11791,126222,138013,8.54339808568758,91.45660191431242,26
andaman and nicobar islands,617,6629,617,6629,7246,8.515042782224675,91.48495721777532,27
assam,84480,928098,84480,928098,1012578,8.343060979006061,91.65693902099393,28
chhattisgarh,165207,1840231,165207,1840231,2005438,8.237951011200547,91.76204898879945,29
kerala,61064,683888,61064,683888,744952,8.197038198434262,91.80296180156574,30
bihar,380023,4434327,380023,4434327,4814350,7.893547415538962,92.10645258446104,31
sikkim,1555,18785,1555,18785,20340,7.64503441494592,92.35496558505409,32
jharkhand,99376,1301813,99376,1301813,1401189,7.092262357183792,92.90773764281622,33
punjab,56866,825029,56866,825029,881895,6.448159928336141,93.55184007166386,34
west bengal,242561,3630176,242561,3630176,3872737,6.263296474818714,93.73670352518128,35
maharashtra,273322,4781280,273322,4781280,5054602,5.4073891475530615,94.59261085244694,36
